document,chunk_count,belongs_to,data_source,source_path
Design Criteria_VRB.pdf,38,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/3.Design/Design Criteria_VRB.pdf
dewatering is code.pdf,102,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/3.Design/dewatering is code.pdf
Emailing Design_of_weirs_and_spillways-1.pdf,102,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/3.Design/Emailing Design_of_weirs_and_spillways-1.pdf
GO for Solar Roof Top Govt Buildings .pdf,5,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/3.Design/GO for Solar Roof Top Govt Buildings .pdf
I.D. Specifications _Civil Works_Writeup.pdf,40,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/3.Design/I.D. Specifications _Civil Works_Writeup.pdf
NewDoc2017-10-11.pdf,167,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/3.Design/NewDoc2017-10-11.pdf
"PREPARATION,PRESENTATION AND APPROVAL OF IRRIGATION PROJECTS PPT.pdf",21,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,"vectorDB/../ISO_Ai_helpdesk_Document/3.Design/PREPARATION,PRESENTATION AND APPROVAL OF IRRIGATION PROJECTS PPT.pdf"
Solar Rooftop Rate list.pdf,2,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/3.Design/Solar Rooftop Rate list.pdf
stone pitching is.4515.2002.pdf,25,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/3.Design/stone pitching is.4515.2002.pdf
village road criteria.pdf,3,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/3.Design/village road criteria.pdf
DOC-20240420-WA0077_250326_145348.pdf,1,ISO_Ai_helpdesk_Document/Drains,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/13. Drains/DOC-20240420-WA0077_250326_145348.pdf
drain (4).pdf,55,ISO_Ai_helpdesk_Document/Drains,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/13. Drains/drain (4).pdf
Drain norms.pdf,7,ISO_Ai_helpdesk_Document/Drains,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/13. Drains/Drain norms.pdf
2.Medical Reimbursement form.pdf,13,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/2.Medical Reimbursement form.pdf
ACR अंकन की नई व्यवस्था.pdf,6,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/ACR अंकन की नई व्यवस्था.pdf
Annual Character Role ACR.pdf,21,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/Annual Character Role ACR.pdf
APPOINTMENT PROBATION CONFIMATION PROMOTION PPT.pdf,19,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/APPOINTMENT PROBATION CONFIMATION PROMOTION PPT.pdf
